Intiulé$Description$URL de la propriété sur data.biblissima
alias$Forme alternative du nom de l'entité.$
auteur_P354$Identifiant de l'auteur d'une œuvre dans les référentiels Biblissima.$https://data.biblissima.fr/entity/P354
biblio_P379$Références bibliographiques concernant l'entité. La syntaxe généralement utilisée pour l'exprimer est NOM DE FAMILLE, Prénom (année de publication), Titre (entouré de guillemets dans le cas des articles), Ville d'édition, Maison d'édition (optionnel) / Revue, tomaison, numéro de fascicule, pagination. La page du manuscrit Chantilly 65 réunit plusieurs types de références bibliographiques et peut aider à identifier le format pertinent. (https://portail.biblissima.fr/ark:/43093/mdata2ed44cf11cd47fa1dcf490d50af276190b628900). Dans le cas où l'on souhaite fournir plusieurs références pour une même entité, elles peuvent être regroupées dans la colonne biblio_P379 et séparées par une suite de trois # (###). Ces références seront explicitées à l'aide du fichier biblissima_fichier_type_bibliographie. Elles seront versées autant dans les référentiels Biblissima que dans l'instance de gestion de la bibliographie https://biblio.biblissima.fr/.$https://data.biblissima.fr/entity/P379
bibliographie_P379$Contient la forme normalisée des références renseignées dans biblio_P379. Si la référence est déjà présente dans https://biblio.biblissima.fr/, on retient la forme du titre de l'instance bibliographique. Dans le cas contraire, on forge la forme préférentielle en suivant les règles énumérées plus haut sous l'étiquette biblio_P379.$https://data.biblissima.fr/entity/P379
biblio_QID_P380$Identifiant d'une référence bibliographique dans l'instance https://biblio.biblissima.fr/. Si la référence ne se trouve pas dans https://biblio.biblissima.fr/, elle sera créée par l'équipe Portail qui fournira ensuite l'identifiant aux collaborateurs.$https://data.biblissima.fr/entity/P380
bibliotheque_numerique_P191$Identifiant de la bibliothèque numérique associée à une numérisation dans les référentiels Biblissima.$https://data.biblissima.fr/entity/P191
bnf_P109 et rameau_P109$Identifiant de l'entité dans https://catalogue.bnf.fr/ (fichier d'autorité de la Bibliothèque nationale de France).$https://data.biblissima.fr/entity/P109
collection_P194$Identifiant de l'établissement de conservation associé à un document dans les référentiels Biblissima.$https://data.biblissima.fr/entity/P194
concept_parent_P55$Identifiant de la catégorie thématique à laquelle est associée une entité dans les référentiels Biblissima. La liste des catégories utilisées se retrouve sur la page https://data.biblissima.fr/w/index.php?title=Spécial:Pages_liées/Item:Q26716.$https://data.biblissima.fr/entity/P55
cote_P195$Cote alphanumérique du document, numéro d'inventaire ou libellé forgé pour identifier un document.$https://data.biblissima.fr/entity/P195
data_biblissima_qid$Identifiant de l'entité dans les référentiels Biblissima si disponible.$
