alias$lang$cote_P195$etat_conservation_P281$url_autre$id_bbma_P129$numerisation_P197$numerisation_type_P279$manifest_url_P196$manifest_type_P279$bibliotheque_numerique_P191$pref_bbma$data_biblissima_qid$entity_type_P2$collection_P194$notes_bbma_P130$biblio_P379
Paris, BnF fr. 2810$fr$Français 2810$$https://archivesetmanuscrits.bnf.fr/ark:/12148/cc77943x$mdatace17c49faef7afba4cfeee39423592799c6c2b20$https://gallica.bnf.fr/ark:/12148/btv1b52000858n$Q120863$https://gallica.bnf.fr/iiif/ark:/12148/btv1b52000858n/manifest.json$Q120863$Q32814$Paris. Bibliothèque nationale de France, Département des manuscrits, Français 2810$Q50036$Q32810$Q32812$$
München, Bayerische Staatsbibliothek -- Clm 4451#Einband$de$Clm 4451 (reliure)$$https://opacplus.bsb-muenchen.de/title/BV043769604$rdataddf2ffeaf7e7d8e8d3fbf47983f21a3fdc99feb3$https://nbn-resolving.org/urn:nbn:de:bvb:12-bsb00107515-2$Q120861$https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00107515/manifest$Q120861$Q78747$Munich. Bayerische Staatsbibliothek, Clm 4451 (reliure)$Q425985$Q120861$Q32916$"Description sur le site du projet DFG ""Erschließung und Digitalisierung von Prachteinbänden als eigenständige Kunstobjekte"" : https://einbaende.digitale-sammlungen.de/Prachteinbaende/Clm_4451_Einband_Hauptaufnahme"$
